745,-1,1152,798
1272,888,1068,-1
1188,129,-1,687
691,392,929,-1
881,-1,-1,6
95,376,736,-1
1264,1405,1508,931
75,439,1069,131
-1,919,1028,-1
241,1629,727,1385
1651,1308,1434,-1
1487,1714,1421,1085
46,928,852,892
-1,-1,1279,1317
1440,1620,1535,-1
159,880,1354,1657
45,24,1111,87
-1,174,930,786
1712,0,946,888
112,1123,776,688
1151,865,1545,-1
244,274,387,117
1061,962,880,870
143,696,742,406
1115,78,86,1479
342,-1,150,842
752,766,1096,900
696,1650,1051,-1
1296,1534,1406,525
1300,-1,1612,909
1707,1199,1447,-1
974,1421,-1,180
668,689,-1,726
1650,133,1144,303
1041,1056,-1,702
856,75,1109,365
1505,626,863,826
154,720,1665,-1
1668,390,-1,1105
-1,511,262,105
453,135,839,818
23,-1,524,-1
352,1396,1467,1115
281,1498,257,-1
1409,1407,147,927
750,941,774,-1
77,1042,1366,912
-1,828,819,815
1376,1205,1373,-1
1515,1194,125,1142
1642,1025,754,1709
1394,1443,530,616
-1,1267,1225,1606
36,1171,-1,733
972,-1,188,1033
1554,916,19,-1
1375,1551,1379,-1
733,504,246,-1
745,1038,1090,726
253,1487,1581,1380
243,-1,275,285
1076,876,873,368
1401,1647,1461,-1
1075,692,1080,762
827,875,127,294
0,1197,946,1277
46,-1,-1,1643
874,782,656,1362
1161,1627,1398,-1
-1,475,463,424
1421,505,809,141
1117,1185,326,-1
235,1010,-1,1705
812,1426,1055,932
1563,414,1478,1462
275,-1,325,33
469,468,218,-1
1664,1407,86,-1
1667,164,-1,975
1018,1019,1011,996
10,1249,1262,251
1122,1462,73,1200
193,107,221,-1
520,53,192,287
989,1674,994,-1
809,1013,971,-1
767,233,47,1235
1535,-1,1687,1415
471,-1,469,-1
1234,1182,357,1050
537,420,-1,435
223,61,595,637
1436,1502,990,992
377,1052,853,1015
836,917,-1,1488
1568,1116,-1,1285
663,1524,1528,1142
-1,1010,1013,1054
62,419,430,440
-1,-1,495,434
686,758,215,956
1256,1088,1035,-1
377,1076,835,328
1255,1225,1266,975
1405,1013,505,1097
929,686,210,392
430,-1,-1,106
1138,485,1393,1525
186,544,471,441
236,514,221,543
-1,1490,307,1377
219,519,192,468
269,5,375,430
-1,595,585,201
